Parsed 268 entries.

Verdict counts: {'EFFECTIVE': 167, 'BEHAVIOR_FAIL': 52, 'EXCEPTION': 23, 'REASONABLE': 26}
  BEHAVIOR_FAIL      n= 52 region_size: min=1 max=8 mean=3.62 median=3.0
  EFFECTIVE          n=167 region_size: min=1 max=10 mean=4.79 median=4
  EXCEPTION          n= 23 region_size: min=2 max=12 mean=4.04 median=3
  REASONABLE         n= 26 region_size: min=1 max=9 mean=4.19 median=4.0

--- All entries sorted by region_size DESC ---
  #  verdict              rsz       SER     beh  host -> donor
 26  BEHAVIOR_FAIL          2    0.3750   0.000  residual_iter -> richardson
 34  REASONABLE             2    0.3750   0.086  ep -> mh
 40  BEHAVIOR_FAIL          2    0.5625   0.000  mf_refine -> gpa
 11  EFFECTIVE              2    0.9375   0.961  importance_sampling -> particle_filter
 13  EFFECTIVE              2    0.9375   0.898  importance_sampling -> weight_apply_wrap
 14  EFFECTIVE              2    0.9375   0.945  importance_sampling -> bb
 16  REASONABLE             2    0.1875   0.078  turbo_linear -> qr_detect
 17  BEHAVIOR_FAIL          2    0.3750   0.000  lmmse -> sa
 18  BEHAVIOR_FAIL          2    0.3750   0.000  lmmse -> admm
 21  REASONABLE             2    0.3750   0.031  warm_start -> bicgstab
 28  BEHAVIOR_FAIL          2    0.3750   0.000  iter_refine -> nested_iter
 30  BEHAVIOR_FAIL          2    0.3750   0.000  map_relaxation -> chebyshev
 42  REASONABLE             2    0.5625   0.367  iter_refine -> weighted_jacobi
 46  BEHAVIOR_FAIL          2    0.6250   0.000  frank_wolfe -> bicgstab
 50  BEHAVIOR_FAIL          2    0.6250   0.000  penalty -> layer_peeling
 20  EFFECTIVE              1    0.5000   0.836  algo_b06a2dbf -> algo_ca5eb1f6
  3  EFFECTIVE              1    0.3750   0.242  osic -> multi_restart
  4  EFFECTIVE              1    0.4375   0.164  svd_detect -> algo_88b04a9b
 23  EFFECTIVE              1    0.5000   0.445  algo_75eaf07f -> mmse_init_iter
 28  EFFECTIVE              1    0.5625   0.492  parallel -> ssor
